PTS,AST,TRB,STL,BLK,TOV,PF,Outcome,,,,,,,,,,
25,5,10,1,0,1,3,0,,,,,,,,,,
12,5,7,3,0,3,1,1,,,,,,,,,,
29,4,5,1,0,4,3,1,,,,,,,,,,
22,11,9,4,2,3,3,1,,,,,,,,,,
23,3,5,4,1,3,1,1,,,,,,,,,,
31,13,4,2,0,2,1,1,,,,,,,,,,
29,4,6,0,0,2,0,1,,,,,,,,,,
31,8,7,2,0,5,2,1,,,,,,,,,,
31,6,3,2,1,3,4,1,,,,,,,,,,
37,5,12,1,3,7,3,0,,,,,,,,,,
30,3,6,0,0,4,3,0,,,,,,,,,,
27,6,9,0,0,4,3,1,,,,,,,,,,
19,8,11,0,2,3,1,1,,,,,,,,,,
15,13,6,1,0,2,0,1,,,,,,,,,,
24,8,6,0,0,2,1,0,,,,,,,,,,
25,5,13,0,0,3,2,1,,,,,,,,,,
26,5,9,1,0,2,0,1,,,,,,,,,,
24,4,13,1,1,9,3,0,,,,,,,,,,
37,8,7,1,1,5,4,0,,,,,,,,,,
33,3,10,2,3,2,3,1,,,,,,,,,,
25,8,3,4,0,4,0,1,,,,,,,,,,
24,3,7,2,1,6,3,1,,,,,,,,,,
33,11,9,2,0,7,2,1,,,,,,,,,,
23,4,5,3,1,2,0,1,,,,,,,,,,
24,5,9,0,0,1,2,1,,,,,,,,,,
25,2,9,1,2,4,0,0,,,,,,,,,,
12,5,4,0,0,3,2,0,,,,,,,,,,
14,7,4,2,1,2,3,1,,,,,,,,,,
34,2,6,2,1,5,2,1,,,,,,,,,,
29,3,5,2,0,0,2,1,,,,,,,,,,
20,7,2,3,0,2,1,1,,,,,,,,,,
34,4,10,1,1,2,3,1,,,,,,,,,,
13,8,12,1,2,3,1,1,,,,,,,,,,
37,9,7,2,0,2,1,1,,,,,,,,,,
27,7,10,2,0,4,2,1,,,,,,,,,,
22,5,7,0,0,4,4,0,,,,,,,,,,
19,7,7,0,2,4,1,1,,,,,,,,,,
16,5,5,1,1,3,1,0,,,,,,,,,,
17,5,1,1,1,4,1,1,,,,,,,,,,
22,12,5,0,0,0,4,1,,,,,,,,,,
26,9,13,2,1,1,3,0,,,,,,,,,,
25,9,4,1,1,5,2,1,,,,,,,,,,
21,9,3,0,0,2,2,1,,,,,,,,,,
20,8,9,1,0,1,3,1,,,,,,,,,,
29,7,5,2,2,2,2,1,,,,,,,,,,
24,6,12,2,1,1,2,1,,,,,,,,,,
23,6,6,1,2,1,1,0,,,,,,,,,,
30,4,7,2,1,6,2,0,,,,,,,,,,
27,8,3,1,0,2,2,1,,,,,,,,,,
21,10,10,2,1,4,1,1,,,,,,,,,,
29,11,7,1,0,1,1,1,,,,,,,,,,
25,9,9,0,1,2,3,1,,,,,,,,,,
25,11,7,3,0,5,3,1,,,,,,,,,,
12,5,8,3,0,6,2,0,,,,,,,,,,
23,7,7,2,0,2,1,1,,,,,,,,,,
25,7,8,1,0,6,2,0,,,,,,,,,,
33,4,5,2,0,5,2,1,,,,,,,,,,
19,8,13,3,0,1,1,1,,,,,,,,,,
28,8,11,2,1,4,2,1,,,,,,,,,,
28,5,9,1,0,4,2,0,,,,,,,,,,
25,6,11,0,0,5,1,1,,,,,,,,,,
24,7,5,0,2,3,2,1,,,,,,,,,,
27,5,6,1,0,2,2,1,,,,,,,,,,
23,3,12,1,0,3,0,0,,,,,,,,,,
18,8,7,1,1,4,3,1,,,,,,,,,,
26,3,3,1,0,3,1,0,,,,,,,,,,
33,11,11,0,0,3,2,1,,,,,,,,,,
26,8,6,2,1,2,0,1,,,,,,,,,,
30,5,6,1,0,4,2,0,,,,,,,,,,
27,11,11,1,2,2,4,1,,,,,,,,,,
24,11,4,2,1,6,0,1,,,,,,,,,,
29,9,16,3,1,3,4,1,,,,,,,,,,
31,12,8,2,0,5,4,1,,,,,,,,,,
17,9,5,0,1,4,0,1,,,,,,,,,,
33,3,7,0,1,4,1,0,,,,,,,,,,
34,6,6,2,1,4,2,1,,,,,,,,,,
19,14,11,0,1,4,3,1,,,,,,,,,,
21,7,8,0,0,5,2,1,,,,,,,,,,
23,9,6,1,1,2,2,1,,,,,,,,,,
19,8,13,0,0,4,4,1,,,,,,,,,,
30,12,7,1,0,2,2,1,,,,,,,,,,
25,14,8,2,1,5,1,1,,,,,,,,,,
23,5,9,3,0,1,3,0,,,,,,,,,,
27,5,10,2,2,6,1,1,,,,,,,,,,
19,8,8,1,1,3,0,1,,,,,,,,,,
28,15,9,1,0,5,2,1,,,,,,,,,,
21,3,3,0,1,2,1,1,,,,,,,,,,
31,13,10,3,0,3,0,1,,,,,,,,,,
19,11,5,1,0,4,1,1,,,,,,,,,,
26,13,10,1,0,5,0,1,,,,,,,,,,
22,4,4,0,0,7,3,0,,,,,,,,,,
16,5,5,2,0,5,2,0,,,,,,,,,,
27,13,5,0,0,8,2,0,,,,,,,,,,
34,7,8,2,0,1,2,1,,,,,,,,,,
25,7,6,1,2,4,2,1,,,,,,,,,,
27,8,8,3,0,3,2,1,,,,,,,,,,
44,10,9,3,1,5,3,1,,,,,,,,,,
23,8,6,3,0,6,1,1,,,,,,,,,,
26,9,7,2,2,2,1,1,,,,,,,,,,
34,7,12,1,1,2,2,1,,,,,,,,,,
29,6,9,0,0,2,0,1,,,,,,,,,,
19,6,4,3,0,1,0,1,,,,,,,,,,
31,4,13,2,1,5,2,1,,,,,,,,,,
23,11,8,1,3,8,2,1,,,,,,,,,,
32,9,6,1,0,1,1,1,,,,,,,,,,
26,6,7,2,1,4,1,1,,,,,,,,,,
31,7,8,1,0,5,2,0,,,,,,,,,,
36,6,9,3,0,5,2,1,,,,,,,,,,
28,4,8,1,0,7,3,1,,,,,,,,,,
29,5,6,4,0,4,0,0,,,,,,,,,,
20,4,11,1,1,5,1,0,,,,,,,,,,
16,15,2,1,1,5,2,1,,,,,,,,,,
20,2,8,1,0,6,1,0,,,,,,,,,,
21,15,9,1,2,4,2,1,,,,,,,,,,
29,7,6,2,0,7,5,0,,,,,,,,,,
26,12,10,2,0,6,2,0,,,,,,,,,,
24,11,13,2,1,5,3,0,,,,,,,,,,
31,11,5,0,0,5,1,1,,,,,,,,,,
25,8,14,1,0,2,1,1,,,,,,,,,,
23,9,9,2,0,5,0,0,,,,,,,,,,
27,12,8,2,1,2,1,1,,,,,,,,,,
32,10,5,0,0,5,1,1,,,,,,,,,,
32,17,7,2,2,6,6,1,,,,,,,,,,
25,9,6,1,1,4,2,1,,,,,,,,,,
18,7,5,2,2,3,1,0,,,,,,,,,,
27,12,5,2,0,6,1,1,,,,,,,,,,
25,14,8,0,0,6,3,1,,,,,,,,,,
31,4,5,1,0,4,2,1,,,,,,,,,,
18,15,13,0,3,6,1,1,,,,,,,,,,
24,6,10,0,0,3,1,1,,,,,,,,,,
28,10,13,1,1,4,3,0,,,,,,,,,,
38,8,13,0,0,2,4,1,,,,,,,,,,
30,6,17,1,1,3,2,0,,,,,,,,,,
29,10,14,1,0,3,1,0,,,,,,,,,,
24,12,12,0,1,4,3,1,,,,,,,,,,
30,5,7,2,0,8,2,0,,,,,,,,,,
16,12,11,0,0,2,0,1,,,,,,,,,,
33,6,10,2,1,6,0,1,,,,,,,,,,
34,7,6,1,0,3,2,1,,,,,,,,,,
18,5,6,0,0,4,1,0,,,,,,,,,,
32,11,9,1,2,4,2,1,,,,,,,,,,
24,8,11,0,1,3,2,0,,,,,,,,,,
17,8,8,0,0,2,3,0,,,,,,,,,,
26,8,10,1,1,4,0,0,,,,,,,,,,
34,6,9,0,0,2,2,1,,,,,,,,,,
41,11,14,2,1,1,4,1,,,,,,,,,,
18,11,11,2,1,6,2,1,,,,,,,,,,
36,6,10,1,2,3,3,1,,,,,,,,,,
27,7,8,2,0,5,0,0,,,,,,,,,,
32,10,16,1,0,3,6,0,,,,,,,,,,
17,4,5,0,0,8,3,0,,,,,,,,,,
36,5,8,4,1,3,1,1,,,,,,,,,,
11,7,7,1,0,3,2,0,,,,,,,,,,
31,4,3,3,0,4,2,0,,,,,,,,,,
22,11,7,1,1,3,1,1,,,,,,,,,,
32,9,11,1,1,4,1,1,,,,,,,,,,
41,7,4,0,1,3,4,1,,,,,,,,,,
32,7,6,0,1,3,1,1,,,,,,,,,,
22,5,9,0,2,4,2,0,,,,,,,,,,
15,9,6,1,1,5,3,0,,,,,,,,,,
22,4,4,1,1,3,0,0,,,,,,,,,,
15,10,1,1,1,5,2,0,,,,,,,,,,
29,11,4,3,0,1,0,1,,,,,,,,,,
29,8,10,3,0,4,3,1,,,,,,,,,,
19,7,2,1,0,3,1,1,,,,,,,,,,
26,10,5,0,0,7,1,1,,,,,,,,,,
19,12,5,2,0,4,2,1,,,,,,,,,,
24,13,7,3,1,4,2,1,,,,,,,,,,
18,7,4,3,0,3,2,1,,,,,,,,,,
35,4,2,2,2,2,1,1,,,,,,,,,,
41,5,5,0,1,2,1,0,,,,,,,,,,
27,14,7,1,3,5,2,1,,,,,,,,,,
21,2,3,2,0,2,0,0,,,,,,,,,,
22,9,4,2,0,4,4,1,,,,,,,,,,
25,11,1,0,1,5,1,1,,,,,,,,,,
24,3,4,1,3,2,3,1,,,,,,,,,,
30,8,4,0,0,4,1,0,,,,,,,,,,
29,8,5,2,2,4,1,1,,,,,,,,,,
17,7,10,1,0,7,3,0,,,,,,,,,,
33,5,7,1,0,5,3,0,,,,,,,,,,
36,5,4,2,0,1,2,1,,,,,,,,,,
32,7,11,3,0,9,4,1,,,,,,,,,,
26,4,5,0,0,6,4,1,,,,,,,,,,
26,9,7,4,0,7,0,1,,,,,,,,,,
25,9,6,4,1,2,1,1,,,,,,,,,,
34,5,7,1,2,2,1,1,,,,,,,,,,
32,7,6,1,0,4,3,1,,,,,,,,,,
19,7,3,4,2,6,1,1,,,,,,,,,,
36,5,6,0,1,2,1,1,,,,,,,,,,
18,11,3,2,0,6,2,1,,,,,,,,,,
23,9,3,1,0,2,0,1,,,,,,,,,,
25,5,6,2,1,7,3,0,,,,,,,,,,
22,8,10,1,0,6,2,1,,,,,,,,,,
18,7,9,1,0,5,2,1,,,,,,,,,,
31,4,5,0,0,8,3,0,,,,,,,,,,
28,6,5,1,0,2,3,1,,,,,,,,,,
18,7,7,2,0,4,2,1,,,,,,,,,,
19,11,7,3,1,9,3,1,,,,,,,,,,
42,5,11,3,1,6,5,1,,,,,,,,,,
37,4,8,3,3,4,4,0,,,,,,,,,,
27,5,3,3,1,1,0,1,,,,,,,,,,
29,14,6,0,0,3,2,1,,,,,,,,,,
18,8,6,2,1,9,3,0,,,,,,,,,,
17,8,6,1,0,4,3,1,,,,,,,,,,
27,8,7,1,1,2,3,1,,,,,,,,,,
31,7,5,2,1,3,2,1,,,,,,,,,,
21,13,8,3,1,1,3,1,,,,,,,,,,
26,4,2,0,0,4,2,0,,,,,,,,,,
16,7,3,1,0,2,1,1,,,,,,,,,,
29,5,7,0,0,3,0,1,,,,,,,,,,
28,6,10,5,1,5,1,1,,,,,,,,,,
20,5,8,0,0,1,2,1,,,,,,,,,,
24,9,5,5,1,3,4,0,,,,,,,,,,
20,6,11,0,1,5,0,1,,,,,,,,,,
23,7,8,1,3,3,3,1,,,,,,,,,,
20,12,10,3,1,3,4,1,,,,,,,,,,
21,8,9,1,1,2,2,1,,,,,,,,,,
14,7,3,1,0,3,1,0,,,,,,,,,,
21,11,10,2,1,1,0,1,,,,,,,,,,
17,8,6,1,0,2,0,0,,,,,,,,,,
25,13,4,0,0,4,3,0,,,,,,,,,,
26,6,7,2,1,5,2,1,,,,,,,,,,
25,5,3,1,0,6,2,1,,,,,,,,,,
35,8,8,0,1,1,2,1,,,,,,,,,,
18,6,5,1,0,4,4,0,,,,,,,,,,
25,10,8,0,0,5,1,1,,,,,,,,,,
33,2,3,0,0,3,0,1,,,,,,,,,,
39,4,6,1,0,6,0,1,,,,,,,,,,
30,7,4,1,1,3,1,1,,,,,,,,,,
13,5,6,1,0,3,0,1,,,,,,,,,,
21,7,6,1,1,4,0,1,,,,,,,,,,
22,7,9,3,0,3,0,1,,,,,,,,,,
35,4,5,1,1,4,0,1,,,,,,,,,,
28,8,8,3,0,1,3,1,,,,,,,,,,
27,3,6,1,1,3,2,1,,,,,,,,,,
26,4,5,1,1,3,0,0,,,,,,,,,,
23,6,5,2,1,6,2,0,,,,,,,,,,
21,2,5,3,0,1,2,1,,,,,,,,,,
21,8,14,2,0,7,3,1,,,,,,,,,,
24,9,7,2,0,6,2,0,,,,,,,,,,
17,6,14,2,0,5,3,1,,,,,,,,,,
25,9,9,4,0,2,2,1,,,,,,,,,,
30,9,9,1,0,3,1,1,,,,,,,,,,
24,7,9,3,0,3,3,1,,,,,,,,,,
18,8,6,1,1,1,1,1,,,,,,,,,,
38,6,8,2,0,0,2,1,,,,,,,,,,
19,4,8,0,0,2,2,0,,,,,,,,,,
33,8,8,0,0,2,3,1,,,,,,,,,,
26,10,6,0,1,4,0,0,,,,,,,,,,
26,5,5,0,1,8,0,1,,,,,,,,,,
15,8,8,1,0,3,1,1,,,,,,,,,,
30,5,4,1,0,1,1,1,,,,,,,,,,
32,5,3,2,0,3,1,0,,,,,,,,,,
32,6,5,1,1,6,2,0,,,,,,,,,,
36,5,7,0,0,4,6,0,,,,,,,,,,
25,7,8,2,0,4,1,1,,,,,,,,,,
21,10,8,2,1,3,3,1,,,,,,,,,,
34,6,8,1,0,2,4,0,,,,,,,,,,
30,6,4,1,0,3,1,1,,,,,,,,,,
29,4,8,2,0,3,1,1,,,,,,,,,,
27,6,13,1,0,5,1,1,,,,,,,,,,
18,6,7,1,0,4,4,0,,,,,,,,,,
34,3,3,0,0,3,1,1,,,,,,,,,,
30,7,8,6,0,2,3,1,,,,,,,,,,
24,11,8,2,2,1,1,1,,,,,,,,,,
31,12,8,3,1,7,2,0,,,,,,,,,,
13,5,7,0,0,5,2,1,,,,,,,,,,
37,3,9,5,0,4,2,1,,,,,,,,,,
36,9,13,2,0,2,1,1,,,,,,,,,,
42,6,9,2,0,3,2,1,,,,,,,,,,
33,3,7,4,0,8,1,1,,,,,,,,,,
31,4,4,0,0,1,0,1,,,,,,,,,,
20,7,9,4,0,2,1,1,,,,,,,,,,
61,4,7,0,0,2,2,0,,,,,,,,,,
22,6,1,3,0,1,1,0,,,,,,,,,,
19,7,8,2,0,5,5,0,,,,,,,,,,
17,8,9,3,1,4,1,1,,,,,,,,,,
23,8,7,3,0,3,3,0,,,,,,,,,,
19,7,5,3,0,5,1,0,,,,,,,,,,
21,6,6,1,0,4,3,1,,,,,,,,,,
24,6,5,2,0,5,3,1,,,,,,,,,,
43,4,6,2,3,0,1,0,,,,,,,,,,
15,7,6,2,1,3,0,0,,,,,,,,,,
25,9,8,0,1,3,1,1,,,,,,,,,,
32,5,6,4,0,5,2,0,,,,,,,,,,
38,5,8,0,0,6,3,1,,,,,,,,,,
17,12,10,1,0,1,0,1,,,,,,,,,,
13,2,7,0,0,4,1,1,,,,,,,,,,
32,8,7,1,0,6,2,1,,,,,,,,,,
17,8,4,1,1,2,0,0,,,,,,,,,,
34,5,8,4,1,4,5,1,,,,,,,,,,
38,6,5,1,0,5,0,0,,,,,,,,,,
29,6,10,2,0,3,0,0,,,,,,,,,,
37,5,6,2,0,5,1,1,,,,,,,,,,
36,1,6,1,1,2,1,0,,,,,,,,,,
27,5,8,0,1,3,2,0,,,,,,,,,,